name,title,70:69:5a:aa:4e:4e:,b0:26:80:83:32:ce:,70:69:5a:a6:40:21:,70:69:5a:a6:11:21:,b0:26:80:83:32:c1:,70:69:5a:aa:4e:41:,70:69:5a:aa:48:41:,70:69:5a:aa:48:4e:,70:69:5a:aa:4e:4d:,b0:26:80:83:32:cd:,70:69:5a:a6:11:22:,70:69:5a:a6:40:22:,b0:26:80:83:32:c2:,70:69:5a:aa:4e:42:,70:69:5a:aa:48:42:,70:69:5a:aa:48:4d:,70:69:5a:a6:3a:8f:,b0:26:80:83:32:cf:,70:69:5a:a6:40:20:,70:69:5a:a6:11:20:,b0:26:80:83:32:c0:,70:69:5a:aa:4e:40:,70:69:5a:aa:48:40:,70:69:5a:aa:48:4f:,70:69:5a:aa:4e:4f:,70:69:5a:a6:40:2e:,70:69:5a:a6:11:2e:,70:69:5a:a6:40:2f:,70:69:5a:a6:11:2f:,70:69:5a:a6:11:2d:,b0:26:80:c9:7b:6e:,b0:26:80:83:37:0e:,b0:26:80:c9:7b:61:,b0:26:80:83:37:01:,b0:26:80:aa:70:a1:,b0:26:80:c9:7b:6d:,70:69:5a:a6:40:2d:,b0:26:80:83:37:0d:,b0:26:80:c9:7b:62:,b0:26:80:83:37:02:,b0:26:80:c9:7b:6f:,b0:26:80:83:37:0f:,70:69:5a:63:31:cf:,b0:26:80:c9:7b:60:,b0:26:80:83:37:00:,70:69:5a:8a:4e:60:,70:69:5a:a6:3a:8e:,70:69:5a:63:31:ce:,b0:26:80:83:33:8e:,b0:26:80:83:33:81:,70:69:5a:a6:3a:81:,70:69:5a:63:31:c1:,70:69:5a:a6:3a:8d:,70:69:5a:92:f7:8d:,70:69:5a:63:31:cd:,b0:26:80:83:33:8d:,b0:26:80:83:33:82:,70:69:5a:a6:3a:82:,70:69:5a:63:31:c2:,70:69:5a:a6:37:82:,b0:26:80:83:33:8f:,b0:26:80:83:33:80:,70:69:5a:a6:3a:80:,70:69:5a:63:31:c0:,70:69:5a:a6:37:80:,e8:65:49:db:4f:f1:,b0:26:80:a9:fb:ee:,70:69:5a:92:f7:8e:,b0:26:80:c9:83:c1:,b0:26:80:aa:71:e1:,70:69:5a:92:f7:81:,b0:26:80:aa:60:81:,70:69:5a:a6:3b:01:,b0:26:80:a9:fb:e1:,70:69:5a:a6:47:e1:,b0:26:80:a9:fb:ed:,b0:26:80:c9:83:c2:,b0:26:80:aa:60:82:,70:69:5a:a6:3b:02:,70:69:5a:92:f7:82:,b0:26:80:83:35:02:,e8:65:49:db:4f:f2:,b0:26:80:a9:fb:e2:,70:69:5a:a6:47:e2:,b0:26:80:a9:fb:ef:,70:69:5a:92:f7:8f:,b0:26:80:c9:83:c0:,b0:26:80:aa:71:e0:,b0:26:80:aa:60:80:,70:69:5a:a6:3b:00:,b0:26:80:a9:fb:e0:,70:69:5a:a6:47:e0:,70:69:5a:92:f7:80:,70:69:5a:6e:a3:41:,70:69:5a:6e:a3:4e:,70:69:5a:6e:a3:4d:,70:69:5a:6e:a3:42:,70:69:5a:6e:a3:4f:,70:69:5a:6e:a3:40:
5106,5106-AFT-E,-85,0,-93,0,0,0,0,0,-85,0,0,-95,0,0,0,0,0,0,-86,0,0,0,0,0,-85,-95,0,-94,0,0,-71,-92,-80,-84,0,-71,-95,-93,-80,-92,-76,-93,-55,-80,-92,0,-91,-55,-58,-59,-90,-48,-89,-74,-55,-59,-59,-90,-48,0,-59,-59,-90,-51,0,0,0,-74,0,0,-88,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,-73,0,0,0,0,0,0,-88,0,0,0,0,0,0
5106,5106-AFT-N,-85,0,-93,0,0,0,0,0,-85,0,0,-95,0,0,0,0,0,0,-86,0,0,0,0,0,-85,-95,0,-94,0,0,-71,-92,-80,-84,0,-71,-95,-93,-80,-92,-76,-93,-55,-80,-92,0,-91,-55,-58,-59,-90,-48,-89,-74,-55,-59,-59,-90,-48,0,-59,-59,-90,-51,0,0,0,-74,0,0,-88,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,-73,0,0,0,0,0,0,-88,0,0,0,0,0,0
5106,5106-AFT-W,-85,0,-93,0,0,0,0,0,-85,0,0,-95,0,0,0,0,0,0,-86,0,0,0,0,0,-85,-95,0,-94,0,0,-71,-92,-80,-84,0,-71,-95,-93,-80,-92,-76,-93,-55,-80,-92,0,-91,-55,-58,-59,-90,-48,-89,-74,-55,-59,-59,-90,-48,0,-59,-59,-90,-51,0,0,0,-74,0,0,-88,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,-73,0,0,0,0,0,0,-88,0,0,0,0,0,0
5106,5106-AFT-S,-85,0,-93,0,0,0,0,0,-85,0,0,-95,0,0,0,0,0,0,-86,0,0,0,0,0,-85,-95,0,-94,0,0,-71,-92,-80,-84,0,-71,-95,-93,-80,-92,-76,-93,-55,-80,-92,0,-91,-55,-58,-59,-90,-48,-89,-74,-55,-59,-59,-90,-48,0,-59,-59,-90,-51,0,0,0,-74,0,0,-88,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,-73,0,0,0,0,0,0,-88,0,0,0,0,0,0
5107,5107-AFT-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,-95,0,0,-83,-95,-81,0,0,-84,-96,-95,-80,-96,-83,-95,-65,-80,-93,0,0,-64,-53,-50,-93,-62,0,-66,-65,-53,-50,-94,-62,0,-54,-50,0,-63,0,0,0,-66,0,0,-72,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,-66,0,0,0,0,0,-93,-70,0,0,0,0,0,0
5107,5107-AFT-E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,-89,0,0,-84,-95,-81,0,0,-84,-90,-95,-80,-96,-84,-95,-64,-80,-93,0,0,-72,-50,-50,-93,-62,0,-70,-71,-49,-50,-94,-62,0,-49,-50,0,-63,0,0,0,-70,0,0,-72,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,-69,0,0,0,0,0,-93,-70,0,0,0,0,0,0
5107,5107-AFT-N,0,0,-93,0,0,0,0,0,0,0,0,-95,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,-95,0,0,-83,-95,-82,0,0,-84,-96,-95,-80,-92,-83,-95,-65,-80,-92,0,0,-64,-53,-50,-90,-64,0,-66,-65,-53,-51,-94,-63,0,-54,-53,-90,-63,0,0,0,-66,0,0,-74,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,-66,0,0,0,0,0,0,-73,0,0,0,0,0,0
5107,5107-AFT-W,0,0,-93,0,0,0,0,0,0,0,0,-95,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,-95,0,0,-83,-95,-82,0,0,-84,-96,-95,-80,-92,-83,-95,-65,-80,-92,0,0,-64,-53,-50,-90,-64,0,-66,-65,-53,-51,-94,-63,0,-54,-53,-90,-63,0,0,0,-66,0,0,-74,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,-66,0,0,0,0,0,0,-73,0,0,0,0,0,0
5108,5108-AFT-N,0,-82,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,-72,-83,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,-86,0,0,-84,0,0,-87,0,-84,0,-74,-87,0,0,-72,-74,-49,-43,-74,-67,-70,-66,-74,-48,-43,-92,-67,0,-49,-43,-74,-67,0,0,0,-66,0,0,-68,0,0,0,-94,0,0,0,0,-68,0,0,0,-92,0,-67,0,0,0,0,0,-94,-68,0,0,0,0,0,0
5108,5108-AFT-E,0,-82,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,-72,-83,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,-86,0,0,-84,0,0,-87,0,-84,0,-74,-87,0,0,-72,-74,-49,-43,-74,-67,-70,-66,-74,-48,-43,-92,-67,0,-49,-43,-74,-67,0,0,0,-66,0,0,-68,0,0,0,-94,0,0,0,0,-68,0,0,0,-92,0,-67,0,0,0,0,0,-94,-68,0,0,0,0,0,0
